operating_name,first_category_vendor,First_Category,first_endorsements,first_issued,last_date_opname,last_ward_id,Count of ward_id,Years_Operation,last_latitude,last_longitude,    Average total income in 2020 among recipients ($),    Employed,    Median total income in 2020 among recipients ($),    Unemployed,  Average total income of one-person households in 2020 ($),  In the labour force,  Median total income of one-person households in 2020 ($),  Not in the labour force,Area (sq km),Meadian age,population between  15 and 19,Population over 20 and less than 54,Total - Population aged 15 years and over by Labour force status - 25% sample data,Total population,Unemployment rate
Dairy Bell,motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - ice cream;,1976-04-09 0:00,2023-07-09 0:00,11,4,47.25,43.6680462,-79.42076054,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Mr Softee,non-motorized refreshment vehicle owner,Desserts and Sweets,rv - non-motorized - propane heater;,1971-04-02 0:00,2024-02-01 0:00,21,4,52.83,43.74879172,-79.31024041,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
Toronto A La Cart,non-motorized refreshment vehicle owner,Specialty and Fusion,rv - non-motorized - propane heater;,2009-05-15 0:00,2017-06-12 0:00,13,4,8.08,43.66646083,-79.38135579,59750,63845,40400,11345,61250,75190,42800,32435,5.863021520776558,34.8,3445,78250,107625,116930,15.1
"Business Of: Mcarthur, Christopher Robin",motorized refreshment vehicle owner,Desserts and Sweets,rv - motorized - propane heater;,2001-07-10 0:00,2012-06-19 0:00,23,3,10.92,43.79411889,-79.26559072,38560,37745,30400,7740,47160,45490,35600,35445,30.43753122423298,42.8,4750,43235,80925,94025,17
2155968 Ontario Corp,non-motorized refreshment vehicle owner,,rv - non-motorized - propane heater;,2007-12-21 0:00,2011-03-23 0:00,10,2,3.25,43.64888312,-79.39299469,78400,91810,58400,9945,86200,101755,69000,24385,12.81255621364045,32.8,2195,103865,126130,135400,9.8
701033 Ontario Ltd,motorized refreshment vehicle owner,Beverages,rv - motorized - propane heater;,2002-05-14 0:00,2024-02-01 0:00,6,2,21.75,43.75122771,-79.46411338,50440,49825,36400,8200,51160,58030,37200,33770,35.36023323972172,41.6,5705,52725,91800,107355,14.1
701449 Ontario Ltd,motorized refreshment vehicle owner,American Cuisine,rv - motorized - propane heater;,2001-10-30 0:00,2024-02-01 0:00,19,2,22.33,43.71112529,-79.30148979,69500,51100,44000,7910,56850,59010,41200,30810,16.803218951448542,41.2,5480,52970,89815,108500,13.4
Bacon Nation,motorized refreshment vehicle owner,Canadian Cuisine,rv - motorized - propane heater;,2014-04-09 0:00,2022-11-18 0:00,11,2,8.58,43.65500321,-79.40197196,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
Besse,non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-03-07 0:00,2024-02-01 0:00,11,2,18.92,43.66248808,-79.39879396,103900,55190,47200,8065,83700,63250,48800,30145,13.59728261167877,36.8,3490,60390,93395,102385,12.8
"Business Of: Ardeshiri Jouneghani, Shahram",non-motorized refreshment vehicle owner,Italian Cuisine,rv - non-motorized - propane heater;,1999-01-29 0:00,2019-02-26 0:00,21,2,20.08,43.75133851,-79.30111804,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Ashtarjani, Mahmud Kiani",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,1989-03-29 0:00,2008-06-29 0:00,16,2,19.25,43.72431984,-79.34293289,50680,40605,36400,7200,57400,47800,45200,31950,22.96489984859394,41.2,5225,44310,79750,94335,15.1
"Business Of: Bashardost, Hamidulla",non-motorized refreshment vehicle owner,American Cuisine,rv - non-motorized - propane heater;,2005-06-14 0:00,2019-05-24 0:00,21,2,13.92,43.74664753,-79.23195384,41560,47210,33600,8815,45440,56030,37200,38565,28.205628137098813,40,6440,53680,94595,111560,15.7
"Business Of: Fadil, Hamza Jolan",motorized refreshment vehicle owner,Mediterranean & Middle Eastern,rv - motorized - propane heater;,2016-01-27 0:00,2019-01-31 0:00,5,2,3,43.69703199,-79.4870454,43360,48010,34800,9385,42400,57395,32000,39810,24.97949625827872,40.4,6390,55685,97205,115675,16.4
